date,amount,payer,reference,failure_mode,true_family,true_invoice
2026-04-25,1041.0,ULRICH CARDOSO,CARDOSO FRENCH SCHOOL,truncated,Cardoso,2026-011
2026-02-17,774.5,ULRICH QUILLIAM,school fees,name_only,Quilliam,2026-037
2026-05-01,592.0,MARGIT PELLETIER,2025-627,prior_term,Pelletier,2026-008
2026-05-28,592.0,MARGIT PELLETIER,Pelletier 2nd,prior_term+instalment,Pelletier,2026-008
2026-04-02,434.5,MARGIT WENDELIN,2026-047,clean,Wendelin,2026-047
2026-01-26,387.25,GENEVIEVE MAALOUF,MAALOU2026-030,glued,Maalouf,2026-030
2026-02-10,387.25,GENEVIEVE MAALOUF,2nd payment,glued+instalment,Maalouf,2026-030
2026-01-12,434.5,VERA FALZON,2026018,no_hyphen,Falzon,2026-018
2026-03-05,434.5,ZORA MARCHETTI,2026-031,clean,Marchetti,2026-031
2026-03-22,434.5,YOLANDE ACHTERBERG,Achterberg,name_only,Achterberg,2026-052
2026-04-04,387.25,CAMILLE LACHAPELLE,LACHAP2026-028,glued,Lachapelle,2026-028
2026-04-23,387.25,CAMILLE LACHAPELLE,2026-028,glued+instalment,Lachapelle,2026-028
2026-03-09,774.5,KATRIN CASTELLANE,2026-056,clean,Castellane,2026-056
2026-01-07,434.5,ZORA VANTERPOOL,Halima,first_name_only,Vanterpool,2026-045
2026-01-31,434.5,ELODIE HASANOVIC,060,bare,Hasanovic,2026-060
2026-01-26,204.75,KATRIN DUPLANTIER,2025-608,prior_term,Duplantier,2026-016
2026-02-11,204.75,KATRIN DUPLANTIER,2nd payment,prior_term+instalment,Duplantier,2026-016
2026-02-27,204.75,ZORA ZIMMERLI,2025-574,prior_term,Zimmerli,2026-051
2026-03-20,204.75,ZORA ZIMMERLI,2nd payment,prior_term+instalment,Zimmerli,2026-051
2026-01-31,374.75,CAMILLE SIGURDSSON,2026041,no_hyphen,Sigurdsson,2026-041
2026-03-02,374.75,CAMILLE SIGURDSSON,2nd payment,no_hyphen+instalment,Sigurdsson,2026-041
2026-04-21,434.5,MARGIT BELHADJ-TREVELYAN,2026-003,wrong_ref,Belhadj-Trevelyan,2026-002
2026-02-17,204.75,LUDOVIC THIBODEAUX,Thibodeaux fees,name_only,Thibodeaux,2026-042
2026-03-13,204.75,LUDOVIC THIBODEAUX,Thibodeaux 2nd,name_only+instalment,Thibodeaux,2026-042
2026-02-16,409.5,MARGIT NWACHUKWU,Giulia,first_name_only,Nwachukwu,2026-033
2026-04-11,217.25,CAMILLE FERREIRO,2025-503,prior_term,Ferreiro,2026-058
2026-05-02,217.25,CAMILLE FERREIRO,Ferreiro 2nd,prior_term+instalment,Ferreiro,2026-058
2026-01-20,1184.0,GENEVIEVE BELHADJ,2026-008,shared_invoice,Belhadj,2026-008
2026-03-22,409.5,INGRID ABARCA,2026-004,clean,Abarca,2026-004
2026-02-18,799.5,ULRICH TREVELYAN,Trevelyan,name_only,Trevelyan,2026-043
2026-04-21,347.0,TOVE CHIDOZIE,CHIDOZIE FRENCH SCHOO,truncated,Chidozie,2026-012
2026-05-26,347.0,TOVE CHIDOZIE,Chidozie,truncated+instalment,Chidozie,2026-012
2026-02-07,409.5,BETTINA VILLALOBOS,2025-578,prior_term,Villalobos,2026-046
2026-04-26,434.5,NILS BLOMFIELD,BLOMFIELD FRENCH SCHO,truncated,Blomfield,2026-010
2026-04-06,774.5,HUGO SANDOVAL,2026-040,clean,Sandoval,2026-040
2026-02-24,434.5,GENEVIEVE HOLLINGWORTH,2026-024,wrong_ref,Hollingworth,2026-023
2026-04-04,749.5,DERMOT AUCLAIR,2026-054,clean,Auclair,2026-054
2026-02-15,767.5,ROSALIND NAKASHIMA-PELLETIER,2025-641,prior_term,Nakashima-Pelletier,2026-003
2026-03-31,434.5,PASCAL IBARRA,2026-024,clean,Ibarra,2026-024
2026-04-27,409.5,ZORA COMEAU,COMEAU2026-013,glued,Comeau,2026-013
2026-03-20,217.25,FERGUS DARRIEUSSECQ,Darrieussecq,name_only,Darrieussecq,2026-014
2026-04-29,217.25,FERGUS DARRIEUSSECQ,2026-014,name_only+instalment,Darrieussecq,2026-014
2026-01-19,217.25,INGRID ERIKSEN,ERIKSE2026-017,glued,Eriksen,2026-017
2026-02-07,217.25,INGRID ERIKSEN,Eriksen 2nd,glued+instalment,Eriksen,2026-017
2026-02-11,409.5,TOVE YANKOVIC,Yankovic,name_only,Yankovic,2026-049
2026-02-05,520.5,GENEVIEVE KILBRIDE,2025-611,prior_term,Kilbride,2026-027
2026-02-25,520.5,GENEVIEVE KILBRIDE,2026-027,prior_term+instalment,Kilbride,2026-027
2026-01-16,229.75,MARGIT RASMUSSEN,2026-039,wrong_ref,Rasmussen,2026-038
2026-02-06,229.75,MARGIT RASMUSSEN,Rasmussen,wrong_ref+instalment,Rasmussen,2026-038
2026-01-22,217.25,MARGIT GAILLARD,Esben,first_name_only,Gaillard,2026-020
2026-03-04,217.25,MARGIT GAILLARD,Gaillard,first_name_only+instalment,Gaillard,2026-020
2026-04-21,1249.12,PASCAL BRANNIGAN,Brannigan,name_only,Brannigan,2026-055
2026-04-20,774.5,JEROME PERREAULT,2025-641,prior_term,Perreault,2026-036
2026-04-03,409.5,ROSALIND GRYNBERG,Grynberg fees,name_only,Grynberg,2026-021
2026-04-17,434.5,ADRIEN ACHTERBERG-MARCHETTI,2026-001,clean,Achterberg-Marchetti,2026-001
2026-02-12,719.5,STEFAN BERGQVIST,BERGQV2026-009,glued,Bergqvist,2026-009
2026-03-06,799.5,CAMILLE LINDQVIST,LINDQVIST FRENCH SCHO,truncated,Lindqvist,2026-029
2026-02-04,434.5,NILS DZIEDZIC,2026057,no_hyphen,Dziedzic,2026-057
2026-04-26,1041.0,ELODIE KACZMAREK,2026026,no_hyphen,Kaczmarek,2026-026
2026-02-22,1041.0,PASCAL GRIMALDSEN,Grimaldsen fees,name_only,Grimaldsen,2026-059
2026-02-17,434.5,KATRIN BEAUCHAMP,2026-008,shared_invoice,Beauchamp,2026-007
2026-04-09,434.5,ELODIE ROCHETEAU,039,bare,Rocheteau,2026-039
2026-03-30,374.75,STEFAN BOSANQUET,053,bare,Bosanquet,2026-053
2026-04-20,374.75,STEFAN BOSANQUET,2026-053,bare+instalment,Bosanquet,2026-053
2026-02-24,434.5,HUGO WOJCIECHOWSKI,048,bare,Wojciechowski,2026-048
2026-02-10,434.5,KATRIN NAKASHIMA,2026-032,clean,Nakashima,2026-032
2026-04-25,387.25,INGRID BAPTISTE,2026-006,clean,Baptiste,2026-006
2026-06-09,387.25,INGRID BAPTISTE,Baptiste,clean+instalment,Baptiste,2026-006
2026-01-22,434.5,LUDOVIC ASHWORTH,ASHWORTH FRENCH SCHOO,truncated,Ashworth,2026-005
2026-02-22,217.25,TOVE FITZHUGH,2026-019,clean,Fitzhugh,2026-019
2026-04-06,217.25,TOVE FITZHUGH,Fitzhugh 2nd,clean+instalment,Fitzhugh,2026-019
2026-04-28,434.5,GENEVIEVE UCHENDU,2026-044,clean,Uchendu,2026-044
2026-03-23,217.25,JEROME JANKOWSKI,2026025,no_hyphen,Jankowski,2026-025
2026-04-09,217.25,JEROME JANKOWSKI,2nd payment,no_hyphen+instalment,Jankowski,2026-025
2026-04-27,374.75,NILS ZABALA,2026-050,clean,Zabala,2026-050
2026-06-09,374.75,NILS ZABALA,Zabala 2nd,clean+instalment,Zabala,2026-050
2026-02-01,434.5,NILS OKONKWO,2025-508,prior_term,Okonkwo,2026-034
